id,title,Carrera UGM,UGM
1359,Dirección y Gestión de Artes Culinarias,,
1360,Diseño,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1361,Educación Básica,,
1362,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1363,Enfermería,ENFERMERIA DIURNO,ENFESG1
1364,Historia,,
1365,Ingeniería Civil en Informática y Telecomunicaciones,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1366,Ingeniería Civil Industrial,,
1367,Ingeniería Civil Plan Común,,
1368,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1369,Ingeniería en Información y Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1370,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1371,Literatura,,
1372,Medicina,,
1373,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1374,Odontología,,
1375,Pedagogía en Religión y Moral Católica,,
1376,Periodismo,,
1377,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1378,Publicidad,,
1379,Teatro,,
1380,Administración Pública,,
1381,Administración Pública,,
1382,Arquitectura,,
1383,Auditoría e Ingeniería en Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1384,Auditoría e Ingeniería en Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1385,Derecho,DERECHO DIURNO,DERESG1
1386,Derecho,DERECHO DIURNO,DERESG1
1387,Enfermería,ENFERMERIA DIURNO,ENFESG1
1388,Enfermería,ENFERMERIA DIURNO,ENFESG1
1389,Enfermería,ENFERMERIA DIURNO,ENFESG1
1390,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1391,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1392,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1393,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1394,Ingeniería Civil en Informática ,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1395,Ingeniería Civil Industrial,,
1396,Ingeniería Civil Industrial,,
1397,Ingeniería Civil Industrial,,
1398,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
